answer	clue
DUDLEYSTUARTJOHNMOORE	English actor and comedian who appeared on television and in films (born in 1935)
DUDS	informal terms for clothing
DUE	directly or exactly; straight
DUECARE	the care that a reasonable man would exercise under the circumstances; the standard for determining legal duty
DUEDATE	the date on which an obligation must be repaid
DUEEAST	the cardinal compass point that is at 90 degrees
DUEL	any struggle between two skillful opponents (individuals or groups)
DUELER	a person who fights duels
DUELIST	a person who fights duels
DUELLER	a person who fights duels
DUELLIST	a person who fights duels
DUENNA	a woman chaperon
DUENORTH	the cardinal compass point that is at 0 or 360 degrees
DUESOUTH	the cardinal compass point that is at 180 degrees
DUET	(ballet) a dance for two people (usually a ballerina and a danseur noble)
DUETTE	a musical composition for two performers
DUEWEST	the cardinal compass point that is at 270 degrees
DUFF	a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron
DUFFEL	a coarse heavy woolen fabric
DUFFELBAG	a large cylindrical bag of heavy cloth; for carrying personal belongings
DUFFELCOAT	a warm coat made of duffel; usually has a hood and fastens with toggles
DUFFER	an incompetent or clumsy person
DUFFLE	a coarse heavy woolen fabric
DUFFLEBAG	a large cylindrical bag of heavy cloth; for carrying personal belongings
DUFFLECOAT	a warm coat made of duffel; usually has a hood and fastens with toggles
DUFY	French painter noted for brightly colored scenes (1877-1953)
DUG	an udder or breast or teat
DUGALDSTEWART	Scottish philosopher and follower of Thomas Reid (1753-1828)
DUGONG	sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate
DUGONGDUGON	sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate
DUGONGIDAE	a family of mammals of order Sirenia including dugongs and Steller's sea cow
DUGOUT	a fortification of earth; mostly or entirely below ground
DUGOUTCANOE	a canoe made by hollowing out and shaping a large log
DUKAS	French composer (1865-1935)
DUKE	a British peer of the highest rank
DUKEDOM	the domain controlled by a duke or duchess
DUKEELLINGTON	United States jazz composer and piano player and bandleader (1899-1974)
DUKEOFCUMBERLAND	English general; son of George II; fought unsuccessfully in the battle of Fontenoy (1721-1765)
DUKEOFMARLBOROUGH	English general considered one of the greatest generals in history (1650-1722)
DUKEOFWINDSOR	British royal title created for the former monarch Edward VIII after his abdication
DUKEUNIVERSITY	a university in Durham, North Carolina
DUKEWAYNE	United States film actor who played tough heroes (1907-1979)
DULCET	pleasing to the ear
DULCIANA	the organ stop having a tone of soft sweet string quality
DULCIFY	make sweeter in taste
DULCIMER	a trapezoidal zither whose metal strings are struck with light hammers
DULCINEA	a woman who is a man's sweetheart
DULCORATE	make sweeter in taste
DULL	(of business) not active or brisk
DULLARD	a person who evokes boredom
DULLED	deprived of color
DULLNESS	without sharpness or clearness of edge or point
DULLPURPLE	of a dull shade of purple
DULLWHITE	of a dull shade of white
DULLY	without liveliness
DULSE	coarse edible red seaweed
DULUTH	a city in northeast Minnesota on Lake Superior
DULY	in accordance with what is appropriate or suitable for the circumstances
DUMA	a legislative body in the ruling assembly of Russia and of some other republics in the former USSR
DUMAS	French writer remembered for his swashbuckling historical tales (1802-1870)
DUMAURIER	English writer and illustrator; grandfather of Daphne du Maurier (1834-1896)
DUMB	unable to speak because of hereditary deafness
DUMBASS	a stupid person; these words are used to express a low opinion of someone's intelligence
DUMBBELL	an exercising weight; two spheres connected by a short bar that serves as a handle
DUMBBOMB	a bomb that falls because of gravity and is not guided to a target
DUMBFOUND	be a mystery or bewildering to
DUMBFOUNDED	as if struck dumb with astonishment and surprise
DUMBFOUNDING	bewildering or striking dumb with wonder
DUMBLY	mutely
DUMBNESS	the quality of being mentally slow and limited
DUMBSHOW	a performance using gestures and body movements without words
DUMBSTRICKEN	as if struck dumb with astonishment and surprise
DUMBSTRUCK	as if struck dumb with astonishment and surprise
DUMBWAITER	a small elevator used to convey food (or other goods) from one floor of a building to another
DUMDUM	a soft-nosed small-arms bullet that expands when it hits a target and causes a gaping wound
DUMDUMBULLET	a soft-nosed small-arms bullet that expands when it hits a target and causes a gaping wound
DUMDUMFEVER	leishmaniasis of the viscera
DUMETELLA	catbirds
DUMETELLACAROLINENSIS	North American songbird whose call resembles a cat's mewing
DUMFOUNDED	as if struck dumb with astonishment and surprise
DUMFOUNDING	bewildering or striking dumb with wonder
DUMMY	having the appearance of being real but lacking capacity to function
DUMMYUP	refuse to talk or stop talking; fall silent
DUMMYWHIST	a form of whist with three players; four hands are dealt with the hand opposite the dealer being face up
DUMP	knock down with force
DUMPCART	a cart that can be tilted to empty contents without handling
DUMPINESS	a short and stout physique
DUMPING	selling goods abroad at a price below that charged in the domestic market
DUMPLING	dessert made by baking fruit wrapped in pastry
DUMPLINGS	small balls or strips of boiled or steamed dough
DUMPROUTINE	a routine that writes from an internal store to some external medium
DUMPS	an informal expression for a mildly depressed state
DUMPSITE	a piece of land where waste materials are dumped
DUMPSTER	a container designed to receive and transport and dump waste
DUMPY	short and plump
DUMPYLEVEL	a surveyor's level having a short telescope fixed to a horizontally rotating table and a spirit level
DUMUZI	Sumerian and Babylonian god of pastures and vegetation; consort of Inanna
DUN	make a dun color
DUNCAN	United States dancer and pioneer of modern dance (1878-1927)
DUNCANGRANT	Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
DUNCANJAMESCORROWGRANT	Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
DUNCE	a stupid person; these words are used to express a low opinion of someone's intelligence
DUNCECAP	a cone-shaped paper hat formerly placed on the head of slow or lazy pupils
DUNCESCAP	a cone-shaped paper hat formerly placed on the head of slow or lazy pupils
DUNCICAL	(used informally) stupid
DUNCISH	(used informally) stupid
DUNCOLORED	having a dun color
DUNCOLOURED	having a dun color
DUNDATHUPINE	Australian timber tree resembling the kauri but having wood much lighter in weight and softer
DUNDERHEAD	a stupid person; these words are used to express a low opinion of someone's intelligence
DUNE	a ridge of sand created by the wind; found in deserts or near lakes and oceans
DUNEBUGGY	a recreational vehicle with large tires used on beaches or sand dunes
DUNECYCLING	bicycling or motorcycling on sand dunes
DUNG	defecate; used of animals
DUNGAREE	a coarse durable twill-weave cotton fabric
DUNGBEETLE	any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs
DUNGENESSCRAB	small edible crab of Pacific coast of North America
DUNGEON	a dark cell (usually underground) where prisoners can be confined
DUNGHILL	a heap of dung or refuse
DUNK	a basketball shot in which the basketball is propelled downward into the basket
DUNKARD	an adherent of Baptistic doctrines (who practice baptism by immersion)
DUNKER	an adherent of Baptistic doctrines (who practice baptism by immersion)
DUNKIRK	a crisis in which a desperate effort is the only alternative to defeat
DUNKSHOT	a basketball shot in which the basketball is propelled downward into the basket
DUNNOCK	small brownish European songbird
DUNSSCOTUS	Scottish theologian who was very influential in the Middle Ages (1265-1308)
DUO	a musical composition for two performers
DUODECIMAL	based on twelve
DUODECIMALDIGIT	a digit from 0 to 11 in duodecimal notation
DUODECIMALNOTATION	any notation that uses 12 different characters
DUODECIMALNUMBERSYSTEM	a positional system of numeration that uses duodecimal digits and a radix of twelve
DUODECIMALSYSTEM	a positional system of numeration that uses duodecimal digits and a radix of twelve
DUODENAL	in or relating to the duodenum
DUODENALSMEAR	alimentary tract smear of material obtained from the duodenum
DUODENALULCER	a peptic ulcer of the duodenum
DUODENUM	the part of the small intestine between the stomach and the jejunum
DUODIODE	an electron tube having two diodes in the same envelope, with either a common cathode or separate cathodes.
DUOLOGUE	a part of the script in which the speaking roles are limited to two actors
DUOMO	the principal Christian church building of a bishop's diocese
DUPE	fool or hoax
DUPERY	something intended to deceive; deliberate trickery intended to gain an advantage
DUPLE	consisting of or involving two parts or components usually in pairs
DUPLETIME	musical time with two beats in each bar
DUPLEX	allowing communication in opposite directions simultaneously
DUPLEXAPARTMENT	an apartment having rooms on two floors that are connected by a staircase
DUPLEXHOUSE	a house with two units sharing a common wall
DUPLICABILITY	the quality of being reproducible
DUPLICABLE	capable of being duplicated
DUPLICATABLE	capable of being duplicated
DUPLICATE	increase twofold
DUPLICATION	the act of copying or making a duplicate (or duplicates) of something
DUPLICATOR	apparatus that makes copies of typed, written or drawn material
DUPLICITY	a fraudulent or duplicitous representation
DURA	the outermost (and toughest) of the 3 meninges
DURABILITY	permanence by virtue of the power to resist stress or force
DURABLE	existing for a long time
DURABLEGOODS	consumer goods that are not destroyed by use
DURABLEPRESS	a fabric that has been chemically processed to resist wrinkles and hold its shape
DURABLES	consumer goods that are not destroyed by use
DURAL	of or relating to the dura mater
DURALUMIN	an aluminum-based alloy
DURAMATER	the outermost (and toughest) of the 3 meninges
DURANCE	imprisonment (especially for a long time)
DURANGO	a city in north central Mexico; mining center
DURANGOCITY	a city in north central Mexico; mining center
DURANT	United States historian (1885-1981)
DURANTE	United States comedian remembered for his large nose and hoarse voice (1893-1980)
DURATION	continuance in time
DURATIVE	the aspect of a verb that expresses its duration
DURATIVEASPECT	the aspect of a verb that expresses its duration
DURAZZO	port city in western Albania on the Adriatic
DURBAN	a port city in eastern South Africa on the Indian Ocean; resort and industrial center
DURBAR	the room in the palace of a native prince of India in which audiences and receptions occur
DURER	a leading German painter and engraver of the Renaissance (1471-1528)
DURESS	compulsory force or threat
DURGA	Hindu goddess of war; a malevolent aspect of Devi
DURHAM	English breed of short-horned cattle
DURIAN	tree of southeastern Asia having edible oval fruit with a hard spiny rind
DURIANTREE	tree of southeastern Asia having edible oval fruit with a hard spiny rind
DURIO	a genus of tall Asian trees of the family Bombacaceae
DURION	tree of southeastern Asia having edible oval fruit with a hard spiny rind
DURIOZIBETHINUS	tree of southeastern Asia having edible oval fruit with a hard spiny rind
DURKHEIM	French sociologist and first professor of sociology at the Sorbonne (1858-1917)
DURMAST	deciduous European oak valued for its tough elastic wood
DURRA	sorghums of dry regions of Asia and North Africa
DURRELL	English writer of Irish descent who spent much of his life in Mediterranean regions (1912-1990)
DURRES	port city in western Albania on the Adriatic
DUSANBE	the capital of Tajikistan; formerly Stalinabad 1926-1991
DUSE	Italian actress best known for her performances in tragic roles (1858-1924)
DUSHANBE	the capital of Tajikistan; formerly Stalinabad 1926-1991
DUSICYON	crab-eating dog
DUSICYONCANCRIVORUS	wild dog of northern South America
DUSK	become dusk
DUSKINESS	a swarthy complexion
